ORF	Name	R1.Ratio	R2.Ratio	R3.Ratio	R4.Ratio	R5.Ratio	R6.Ratio	R7.Ratio
1	YDR025W	RPS18A	0.136061549576028	-0.111031312388744	-0.189033824390017	-0.782408564927373	-0.75702324650746	-0.855989697308481	-2.30451104180995
2	YDR031w		-0.286881147788162	-0.0840642647884746	0.184424571137428	0.136061549576028	0.535331732996556	2.32192809488736	1.25153876699596
3	YDR060w		-0.0426443374084937	-0.0976107966264223	-0.0143552929770701	-0.799087306074004	-0.839959587489532	-2.24792751344359	-2.38681094647222
4	YDR064W	YS15	-0.0565835283663676	-0.124328135002202	-0.070389327891398	-0.545968369105293	-0.55581615506164	-2.10433665981474	-2.36737106564853
5	YDR070c		0.0144995696951152	0.0740005814437768	0.0588936890535686	0.0144995696951152	0.251538766995964	2.39592867633114	1.68965987938785
6	YDR144C	MKC7	0.136061549576028	-0.0426443374084937	-0.298658315564515	-0.871843648509318	-1.14404636961671	-2.42223300068305	-2.72246602447109
7	YDR171W	HSP42	0.0740005814437768	0.136061549576028	0.434402824145775	0.836501267717121	0.943416471633632	3.64385618977472	3.32192809488736
8	YDR178W	SDH4	-0.189033824390017	-0.028569152196771	0.599462070416271	0.888968687611256	0.836501267717121	2.55639334852439	2.64385618977472
9	YDR258C	HSP78	-0.250961573533219	0.136061549576028	-0.22650852980868	0.862496476250065	0.62148837674627	2.55639334852439	2.39592867633114
10	YBL015W	ACH1	-0.111031312388744	0.0588936890535686	0.0144995696951152	0.104697378666693	0.3040061868901	2.73696559416621	3.32192809488736
11	YDR272W	GLO2	-0.028569152196771	-0.0976107966264223	0.358453970912476	0.434402824145775	0.377069649079823	2.55639334852439	1.25153876699596
12	YDR272W		0.0740005814437768	0.3040061868901	0.494109070270043	0.473931188332412	0.377069649079823	2.32192809488736	1.47393118833241
13	YDR342C	HXT7	0.184424571137428	0.434402824145775	0.943416471633632	1.51457317282976	1.64385618977472	2.32192809488736	1.59946207041627
14	YDR343C	HXT6	0.15200309344505	0.761213140412884	1.28630418515664	1.94341647163363	1.51457317282976	2.18442457113743	2.64385618977472
15	YBL027W	RPL19A	0.0439433475875972	0.0144995696951152	0.395928676331139	-0.16349873228288	-0.27500704749987	-1.11103131238874	-2.44360665147561
16	YDR382W	RPLA4	0.104697378666693	0.15200309344505	0.104697378666693	0.0588936890535686	0.0439433475875972	-0.604071323668861	-2.36457243229586
17	YDR398W		-0.0143552929770701	-0.0840642647884746	-0.124328135002202	-1.03562390973072	-1.1243281350022	-2.02147972741045	-2.799087306074
18	YDR417C		0.321928094887362	0.120294233717712	0.0892673380970873	-0.344828496997441	-0.250961573533219	-1.64616265715789	-2.54596836910529
19	YDR418W	RPL15A	0.200912693925996	0.168122758808327	0.286304185156641	-0.20163386116965	-0.20163386116965	-1.75274859140713	-2.99638874644762
20	YDR516C		-0.137503523749935	0.2688167584278	0.415037499278844	0.785875194647153	0.713118852211838	2.32192809488736	1.02914634565952
21	YBL043W		-0.516015147003665	0.0740005814437768	0	-0.214124805352847	-0.53605290024021	1.94341647163363	2.32192809488736
22	YDR529C	QCR7	0.168122758808327	0.0291463456595165	0.377069649079823	0.862496476250065	0.810966175609983	2.18442457113743	2.55639334852439
23	YDR533C		-0.070389327891398	0.0588936890535686	0.577766999316952	0.415037499278844	0.0144995696951152	2.73696559416621	2.39592867633114
24	YBL045C	COR1	0.0740005814437768	0	0.68965987938785	0.514573172829758	0.15200309344505	1.68965987938785	2.47393118833241
25	YEL011w	GLC3	-0.286881147788162	0.120294233717712	0.494109070270043	0.836501267717121	0.494109070270043	2.64385618977472	2.83650126771712
26	YEL012w	UBC8	-0.0840642647884746	-0.298658315564515	0.0740005814437768	0.0740005814437768	-0.356143810225275	1.32192809488736	2.32192809488736
27	YEL024w	RIP1	0.0892673380970873	0.2688167584278	0.556393348524385	0.888968687611256	0.943416471633632	1.94341647163363	2.32192809488736
28	YBL048W		-0.250961573533219	0.104697378666693	-0.150559676575381	-0.22650852980868	-0.356143810225275	2.55639334852439	2.18442457113743
29	YBL049W		-0.584962500721156	0.168122758808327	0.184424571137428	-0.150559676575381	-0.823749360308273	2.47393118833241	2.64385618977472
30	YEL054c	RPL15A	0.200912693925996	0.0892673380970873	0.321928094887362	-0.321928094887362	-0.475084882948783	-1.64154602908752	-2.46466826700344
31	YER024w		-0.27500704749987	-0.150559676575381	0.168122758808327	-0.356143810225275	-0.495695162624069	1.12029423371771	3.18442457113743
32	YER053c		-0.189033824390017	0.358453970912476	1.02914634565952	1.51457317282976	1.64385618977472	2.18442457113743	2.64385618977472
33	YER065c	ICL1	0.120294233717712	0.168122758808327	0.535331732996556	0.0892673380970873	-0.150559676575381	0.535331732996556	3.64385618977472
34	YER067w		-0.070389327891398	0.15200309344505	0.761213140412884	1.02914634565952	0.377069649079823	3.18442457113743	2.55639334852439
35	YBL064C		0.377069649079823	0.0439433475875972	0.736965594166206	0.888968687611256	0.761213140412884	3.47393118833241	2.83650126771712
36	YER131w	RPS26B	0.358453970912476	0.136061549576028	0.473931188332412	0.0439433475875972	-0.0143552929770701	-1.36737106564853	-2.48800077083407
37	YER150w		-0.0143552929770701	0.184424571137428	1.15200309344505	1.51457317282976	1.59946207041627	3.47393118833241	3.32192809488736
38	YAL003W	TEF5	0.234465253637023	0	-0.0426443374084937	-0.641546029087524	-0.933572638261024	-1.53605290024021	-2.33342373372519
39	YFL014W	HSP12	-0.150559676575381	0.377069649079823	0.62148837674627	1.59946207041627	2.25153876699596	3.64385618977472	3.47393118833241
40	YFL054C		-0.678071905112638	-0.36737106564853	-0.137503523749935	-0.27500704749987	-0.176322772640463	2.47393118833241	0.971430847803229
41	YBL078C		-0.400537929583729	-0.16349873228288	0.136061549576028	0.234465253637023	0.321928094887362	2.32192809488736	2.12029423371771
42	YFR015C	GSY1	-0.22650852980868	0.0439433475875972	0.415037499278844	1.55639334852439	1.02914634565952	2.73696559416621	2.73696559416621
43	YFR033C	QCR6	0.0588936890535686	-0.111031312388744	0.0291463456595165	0.321928094887362	0.62148837674627	2.39592867633114	1.88896868761126
44	YFR053C	HXK1	0.184424571137428	0.321928094887362	0.395928676331139	1	1.47393118833241	2.55639334852439	0.377069649079823
